event_time_utc,event_type,symbol,source,direction,entry_price,exit_price,sl,tp1,tp2,quantity,notional_usdt,pnl_usdt,balance_after_usdt,exit_reason
2026-09-20T12:20:56.484074+00:00,open,FLOWUSDT,ICT/SMC v2,long,0.030350000000000002,,0.02975645890891147,0.0312403116366328,0.032130623273265595,658.97,20.0,,,
2026-09-20T12:21:07.116313+00:00,close,GMXUSDT,ICT/SMC v2,short,7.510149999999999,7.422291447680593,,,,1.3315,,0.11698366241329024,1000.2500924278089,TP1
2026-09-20T12:21:38.309711+00:00,open,JASMYUSDT,ICT/SMC v2,short,0.003972,,0.004018816129652089,0.0039017758055218655,0.0038315516110437307,5035.2,20.0,,,
2026-09-20T12:21:41.319069+00:00,open,JOEUSDT,Supertrend+ADX,long,0.0335,,0.032153071623051,0.03552039256542352,0.03754078513084702,895.52238,30.0,,,
2026-09-20T12:22:19.698822+00:00,open,MASKUSDT,ICT/SMC v2,short,0.4535,,0.45695934792868576,0.4483109781069713,0.4431219562139427,44.10143,20.0,,,
2026-09-20T12:22:54.966026+00:00,open,ONDOUSDT,ICT/SMC v2,short,0.41145,,0.41855571666191976,0.40079142500712034,0.3901328500142407,48.6,20.0,,,
2026-09-20T12:23:28.206534+00:00,open,PYTHUSDT,ICT/SMC v2,short,0.058095,,0.05893373245252873,0.0568369013212069,0.0555788026424138,344.26,20.0,,,
2026-09-20T12:23:31.328539+00:00,open,RAREUSDT,ICT/SMC v2,short,0.01245,,0.01258094560899163,0.012253581586512553,0.012057163173025106,1606.4,20.0,,,
2026-09-20T12:24:10.578381+00:00,open,SEIUSDT,ICT/SMC v2,short,0.047700000000000006,,0.04826316308510166,0.04685525537234752,0.046010510744695025,419.2,20.0,,,
2026-09-20T12:24:46.315087+00:00,open,TAOUSDT,ICT/SMC v2,short,250.89,,254.68628929004973,245.19556606492537,239.5011321298508,0.0797,20.0,,,
2026-09-20T12:25:17.578617+00:00,open,WIFUSDT,ICT/SMC v2,short,0.19690000000000002,,0.19954749795747279,0.1929287530637909,0.1889575061275818,101.57,20.0,,,
2026-09-20T12:35:36.921658+00:00,open,ETHUSDT,ICT/SMC v2,long,2573.945,,2560.7803884760688,2593.6919172858975,2613.438834571795,0.00777,20.0,,,
2026-09-20T12:38:47.091444+00:00,open,SAGAUSDT,ICT/SMC v2,long,0.028999999999999998,,0.027485523183789377,0.03127171522431593,0.03354343044863186,689.6,20.0,,,
2026-09-20T12:39:30.242234+00:00,open,THETAUSDT,ICT/SMC v2,long,0.2119,,0.20903685070448846,0.2161947239432673,0.2204894478865346,94.3,20.0,,,
2026-09-20T12:39:45.516621+00:00,open,UMAUSDT,ICT/SMC v2,short,0.376,,0.3782022070518683,0.37269668942219764,0.36939337884439527,53.1914,20.0,,,
2026-09-20T12:50:17.211872+00:00,open,BICOUSDT,ICT/SMC v2,short,0.0205,,0.020830162831077033,0.020004755753384458,0.019509511506768912,975.60975,20.0,,,
2026-09-20T12:52:44.532518+00:00,open,JOEUSDT,ICT/SMC v2,long,0.0335,,0.032692394043376184,0.03471140893493573,0.03592281786987146,597.01492,20.0,,,
2026-09-20T12:53:56.820073+00:00,close,NOTUSDT,ICT/SMC v2,short,0.00045905,0.0004643344678023644,,,,21784.1,,-0.11511737505348581,1000.1349750527554,SL
2026-09-20T12:53:57.501489+00:00,close,NOTUSDT,ICT/SMC v2,short,0.00045905,0.0004643344678023644,,,,21784.1,,-0.11511737505348581,1000.0198576777019,SL
2026-09-20T12:56:54.726760+00:00,open,ZECUSDT,ICT/SMC v2,long,1457.7604999999999,,1436.5867946300039,1489.5210580549942,1521.2816161099884,0.01371,20.0,,,
2026-09-20T13:05:13.380026+00:00,open,DOGSUSDT,ICT/SMC v2,short,4.5900000000000004e-05,,4.648017568111483e-05,4.502973647832778e-05,4.415947295665556e-05,435729.8,20.0,,,
2026-09-20T13:06:05.169510+00:00,open,GTCUSDT,ICT/SMC v2,short,0.0826,,0.08336904633350285,0.08144643049974575,0.08029286099949148,242.1307,20.0,,,
2026-09-20T13:07:03.541651+00:00,open,LUNAUSDT,ICT/SMC v2,short,0.047049999999999995,,0.04749524278339719,0.04638213582490421,0.04571427164980842,425.07,20.0,,,
2026-09-20T13:07:39.605259+00:00,open,NMRUSDT,ICT/SMC v2,short,9.0415,,9.081006481495626,8.98224027775656,8.92298055551312,2.212,20.0,,,
2026-09-20T13:08:27.845465+00:00,open,RAREUSDT,Supertrend+ADX,long,0.012424999999999999,,0.012132915764084321,0.012863126353873515,0.013301252707747032,2414.4,30.0,,,
2026-09-20T13:09:51.679944+00:00,open,TURBOUSDT,ICT/SMC v2,short,0.0009492000000000001,,0.0009602234420663699,0.0009326648369004453,0.0009161296738008904,21070.3,20.0,,,
2026-09-20T13:19:27.359891+00:00,open,AXSUSDT,ICT/SMC v2,short,0.988,,0.9971058496651641,0.9743412255022538,0.9606824510045077,20.24,20.0,,,
2026-09-20T13:21:00.022984+00:00,open,FIDAUSDT,ICT/SMC v2,short,0.02031,,0.020518851243316445,0.019996723135025336,0.01968344627005067,984.736,20.0,,,
2026-09-20T13:21:26.210106+00:00,open,HBARUSDT,Supertrend+ADX,long,0.08257500000000001,,0.07946255610190356,0.08724366584714467,0.09191233169428936,363.3,30.0,,,
2026-09-20T13:22:13.364811+00:00,open,LAYERUSDT,ICT/SMC v2,short,0.07055,,0.07112610818322099,0.06968583772516854,0.06882167545033707,283.4868,20.0,,,
2026-09-20T13:23:28.319777+00:00,open,PIXELUSDT,ICT/SMC v2,short,0.005015,,0.005065564425524479,0.004939153361713282,0.004863306723426563,3988.0,20.0,,,
2026-09-20T13:34:38.973874+00:00,open,BICOUSDT,Supertrend+ADX,long,0.0205,,0.019622682117109692,0.021815976824335462,0.023131953648670923,1463.41463,30.0,,,
2026-09-20T13:37:37.131850+00:00,open,METISUSDT,ICT/SMC v2,short,3.115,,3.1574093388535265,3.051385991719711,2.987771983439422,6.42,20.0,,,
2026-09-20T13:40:04.429946+00:00,open,TRXUSDT,ICT/SMC v2,long,0.3437645,,0.3430035734029717,0.34490588989554233,0.34604727979108474,58.1,20.0,,,
2026-09-20T13:40:15.197365+00:00,open,UNIUSDT,ICT/SMC v2,short,8.5616,,8.712629529536862,8.335055705694709,8.108511411389417,2.33,20.0,,,
2026-09-20T13:48:50.825422+00:00,open,ALGOUSDT,ICT/SMC v2,long,0.10495,,0.10260352993567166,0.10846970509649252,0.11198941019298506,190.5,20.0,,,
2026-09-20T13:49:48.810729+00:00,open,BNBUSDT,ICT/SMC v2,long,750.78295,,746.8914446343207,756.6202080485191,762.4574660970382,0.026,20.0,,,
2026-09-20T13:55:09.467820+00:00,close,SUNUSDT,Supertrend+ADX,long,0.01706015,0.01721198767431951,,,,879.2,,0.13349568326171482,1000.1533533609636,TP1
2026-09-20T13:55:34.902598+00:00,close,TRXUSDT,ICT/SMC v2,long,0.3437645,0.34490588989554233,,,,29.0,,0.0331003069707283,1000.1864536679343,TP1
2026-09-20T13:55:35.831543+00:00,close,TRXUSDT,ICT/SMC v2,long,0.3437645,0.34604727979108474,,,,29.1,,0.06642889192056668,1000.2528825598549,TP2
2026-09-20T14:06:12.961799+00:00,close,HBARUSDT,Supertrend+ADX,long,0.08257500000000001,0.08724366584714467,,,,181.6,,0.8478297178414707,1001.1007122776964,TP1
